Journal title,Journal ISSN (print version),Journal EISSN (online version),Languages in which the journal accepts manuscripts,Publisher,DOAJ Seal,Journal license,APC
Faces de Eva,0874-6885,,"Spanish, French, English, Portuguese","CICS.NOVA - Interdisciplinary Centre of Social Sciences, Universidade Nova de Lisboa",No,CC BY-NC,No
Открытое образование (Москва),1818-4243,2079-5939,"English, Russian",Plekhanov Russian University of Economics,No,CC BY,No
"Journal of Education in Science, Environment and Health",,2149-214X,English,Seyit Ahmet Kıray,No,CC BY-NC-SA,No
Turkish Journal of Public Health,1304-1096,,"English, Turkish",Turkish Society of Public Health Specialists,No,CC BY-NC,No
Uludağ University Journal of The Faculty of Engineering,2148-4147,2148-4155,"English, Turkish",Bursa Uludag University,No,CC BY,No
Journal of Learning and Teaching in Digital Age,,2458-8350,English,JOLTIDA,No,CC BY-NC-ND,No
Journal of Istanbul University Faculty of Dentistry,2149-2352,2149-4592,English,Istanbul University,No,CC BY-NC-ND,No
Journal of Oncological Sciences,,2452-3364,English,Turkiye Klinikleri,No,CC BY-NC-ND,No
Turkish Journal of Forestry,,2149-3898,"English, Turkish",Isparta University of Applied Sciences Faculty of Forestry,No,CC BY,No
Iconarp International Journal of Architecture and Planning,,2147-9380,English,Konya Technical University Faculty of Architecture and Design,No,CC BY-NC-ND,No
Niğde Ömer Halisdemir Üniversitesi Mühendislik Bilimleri Dergisi,,2564-6605,"English, Turkish",Niğde Ömer Halisdemir University,No,CC BY-NC,No
Erzincan Üniversitesi Eğitim Fakültesi Dergisi,2148-7758,2148-7510,"English, Turkish",Erzincan Binali Yildirim University,No,CC BY-NC-SA,No
Marmara İletişim Dergisi,1300-4050,2529-0053,"English, Turkish",Marmara University,No,CC BY-NC-ND,No
Cihannüma: Tarih ve Coğrafya Araştırmaları Dergisi,2149-0678,2148-8843,"English, Turkish",Izmir Katip Celebi University,No,CC BY-NC-ND,No
Sigma Journal of Engineering and Natural Sciences,1304-7191,1304-7205,"English, Turkish",Yıldız Technical University,No,CC BY-NC,No
Ekonomi Maliye İşletme Dergisi,,2667-4378,"English, Turkish",Adil AKINCI,No,CC BY-NC,No
Annales de la Faculté de Droit d’Istanbul,0578-9745,2687-4113,"German, French, English",Istanbul University Press,No,CC BY-NC,No
Landscape Online,,1865-1542,English,"International Association for Landscape Ecology, Chapter Germany",Yes,CC BY,Yes
Annals of Occupational and Environmental Medicine,,2052-4374,English,Korean Society of Occupational & Environmental Medicine,No,"CC BY, CC BY-NC",Yes
African Entomology,1021-3589,2224-8854,English,Khulisa,No,CC BY,Yes
Medicinski Podmladak,0369-1527,2466-5525,"Serbian, English","University of Belgrade, Medical Faculty",No,CC BY,No
Physics Letters B,0370-2693,1873-2445,English,Elsevier,No,CC BY,No
Jurnal Administrasi Bisnis,2252-3294,2548-4923,"Indonesian, English","Department of Business Administration, Diponegoro University",No,CC BY-SA,Yes
Pirineos: Revista de Ecología de Montaña,0373-2568,1988-4281,"Spanish, French, English",Consejo Superior de Investigaciones Científicas,No,CC BY,No
Ukrainian Botanical Journal,0372-4123,2415-8860,"Ukrainian, English",M.G.Kholodny Institute of Botany,No,CC BY,No
The Egyptian Journal of Radiology and Nuclear Medicine,0378-603X,2090-4762,English,SpringerOpen,No,CC BY,No
Káñina,0378-0473,2215-2636,Spanish,Universidad de Costa Rica,No,CC BY-NC-ND,No
Neurologia Medico-Chirurgica,0470-8105,1349-8029,English,The Japan Neurosurgical Society,No,CC BY-NC-ND,Yes
Boletín de Historia Argentina y Americana Dr. Emilio Ravignani,0524-9767,1850-2563,Spanish,Universidad de Buenos Aires,No,CC BY-NC,No
Zaštita prirode,0514-5899,2620-0465,"Serbian, English","Institute for Nature Conservation of Serbia, Belgrade",No,CC BY-SA,No
Política & Trabalho,,1517-5901,"Portuguese, English, Spanish",Université Fédérale de Paraíba,No,CC BY-NC,No
Musicologica Austriaca,1016-1066,2411-6696,English,Österreichische Gesellschaft für Musikwissenschaft,No,CC BY,No
Anales Cervantinos,0569-9878,1988-8325,Spanish,Consejo Superior de Investigaciones Científicas,No,CC BY,No
Slavica,0583-5356,2732-0146,"Russian, German, English",Debrecen University Press,No,CC BY-NC,No
Zbornik Instituta za pedagoška istraživanja,0579-6431,1820-9270,Serbian,"Institute for Educational Research, Belgrade",No,CC BY-NC-ND,No
Zbornik Radova Vizantološkog Instituta,0584-9888,2406-0917,"Serbian, Russian, German, French, English, Bulgarian",Institute for Byzantine Studies of the Serbian Academy of Sciences and Arts,No,CC BY-NC,No
Arti Musices,0587-5455,1848-9303,"English, Croatian",Hrvatsko muzikološko društvo / Croatian Musicological Society,No,CC BY-NC,No
Interações,,1983-2478,Portuguese,Pontifícia Universidade Católica de Minas Gerais,No,CC BY,No
BAG. Journal of Basic and Applied Genetics,,1852-6233,"English, Spanish",Sociedad Argentina de Genética,No,CC BY-NC-SA,No
Revista de Direitos Humanos e Efetividade,,2526-0022,Portuguese,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),No,CC BY-NC,No
Cuadernos Europeos de Deusto,1130-8354,2445-3587,"English, Spanish",Universidad de Deusto,No,Publisher's own license,No
Humanidades Médicas,,1727-8120,Spanish,Centro para el Desarrollo de las Ciencias Sociales y Humanísticas en Salud,No,CC BY,No
Journal of Leadership in Organizations,2656-8829,2656-8810,English,Universitas Gadjah Mada,No,CC BY-SA,No
Філософія та політологія в контексті сучасної культури,2663-0265,2663-0273,"English, Russian, Ukrainian",Oles Honchar Dnipro National University,No,CC BY,Yes
Publicaciones e Investigación,1900-6608,2539-4088,Spanish,Universidad Nacional Abierta y a Distancia,No,CC BY-NC-SA,No
Revista de Investigación Agraria y Ambiental,2145-6097,2145-6453,Spanish,UNAD,No,CC BY-NC-SA,No
Revista da Casa da Geografia de Sobral,1516-7712,2316-8056,Portuguese,Universidade Estadual Vale do Acaraú,No,CC BY,No
Journal of Stroke,2287-6391,2287-6405,English,Korean Stroke Society,No,CC BY-NC,No
Ukrainian Policymaker,2617-2194,2617-2208,English,International Society of Philosophy and Cosmology (ISPC),No,CC BY,No
Humanities Diliman,1655-1532,2012-0788,"English, Spanish, Tagalog",University of the Philippines,No,Publisher's own license,No
Folia Onomastica Croatica,1330-0695,1848-7858,"Croatian, English, German, Russian, Slovenian",Hrvatska Akademija Znanosti i Umjetnosti,No,CC BY-NC,No
Revista de Estudios y Experiencias en Educación,0717-6945,0718-5162,Spanish,Universidad Católica de la Santísima Concepción,No,CC BY-NC-ND,No
Arquivos Brasileiros de Psicologia,0100-8692,1809-5267,"English, Portuguese, Spanish",Universidade Federal do Rio de Janeiro,No,CC BY-NC,No
Культурно-историческая психология,1816-5435,2224-8935,"English, Russian",Moscow State University of Psychology and Education,No,CC BY-NC,No
Український стоматологічний альманах,2409-0255,2410-1427,"English, Russian, Ukrainian",Ukrainian Medical Stomatological Academy,No,CC BY,Yes
Anamorphosis,,2446-8088,"English, French, Italian, Portuguese, Spanish",Rede Brasileira Direito e Literatura,No,CC BY,No
História da Historiografia,,1983-9928,"English, Portuguese, Spanish",Universidade Federal de Ouro Preto (UFOP); Universidade Federal do Estado do Rio de Janeiro (UNIRIO),No,CC BY-NC-ND,No
Pesquisa Agropecuária Tropical,,1983-4063,"English, Portuguese",Universidade Federal de Goiás,No,CC BY,No
Teme,0353-7919,1820-7804,"English, Serbian",University of Niš,No,CC BY-NC-ND,No
Biotecnología en el Sector Agropecuario y Agroindustrial,1692-3561,1909-9959,Spanish,Universidad del Cauca,No,CC BY-NC-ND,No
The Cardiothoracic Surgeon,,2662-2203,English,SpringerOpen,No,CC BY,No
Mäetagused,1406-992X,1406-9938,Estonian,Eesti Kirjandusmuuseum,No,CC BY-NC-ND,No
Revista Educação e Cultura Contemporânea,1807-2194,2238-1279,Portuguese,Universidade Estácio de Sá,No,CC BY,No
Tendencias Pedagógicas,1133-2654,1989-8614,"Portuguese, Spanish",Universidad Autónoma de Madrid,No,CC BY-NC,No
Educate~,1477-5557,2049-9558,English,University College London,No,CC BY-NC-SA,No
POLIS,2223-8174,2522-6126,English,Universitet Europian i Tiranës,No,CC BY,No
Muaddib: Studi Kependidikan dan Keislaman,2088-3390,2540-8348,"English, Indonesian",Universitas Muhammadiyah Ponorogo,No,CC BY-SA,No
JITCE (Journal of Information Technology and Computer Engineering),,2599-1663,"English, Indonesian",Andalas University,No,CC BY-NC-SA,No
Revista de Direito Ambiental e Socioambientalismo,,2525-9628,Portuguese,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),No,CC BY-NC,No
Colección Académica de Ciencias Sociales,,2422-0477,Spanish,Universidad Pontificia Bolivariana,No,CC BY-NC,No
Revista del Instituto Riva-Agüero,2415-5896,2519-1470,"English, Spanish",Pontificia Universidad Católica del Perú,No,CC BY,No
Sri Lanka Journal of Medicine,,2579-1990,English,The Kandy Society of Medicine,No,CC BY,No
Acta Colombiana de Psicología,0123-9155,1909-9711,"English, Spanish",Universidad Católica de Colombia,No,CC BY-NC-SA,No
Didáskomai,1688-7794,2393-7297,Spanish,Universidad de la República,No,CC BY-NC-SA,No
Anuari de Filologia. Antiqva e Mediaevalia,,2014-1386,"Catalan, English, Spanish",Universitat de Barcelona,No,CC BY,No
Jurnal Edukasi Khatulistiwa: Pembelajaran Bahasa dan Sastra Indonesia,,2621-3788,Indonesian,Fakultas Keguruan dan Ilmu Pendidikan Universitas Tanjungpura,No,CC BY-NC,No
Reflexus,1982-0828,2358-4874,"English, Portuguese, Spanish",Faculdade Unida de Vitória,No,CC BY-NC,No
Canadian Journal of Higher Education,0316-1218,2293-6602,"English, French",Canadian Society for the Study of Higher Education,No,CC BY-NC-ND,No
Revista de Turismo Contemporâneo,,2357-8211,Portuguese,Postgraduate Program in Tourism of the Federal University of Rio Grande do Norte,No,CC BY,No
Jurnal Teknik Mesin,2089-7235,2549-2888,Indonesian,Universitas Mercu Buana,No,CC BY-NC,No
Historia Crítica,0121-1617,1900-6152,Spanish,Universidad de los Andes,No,CC BY,No
Emergency,,2345-4571,English,Shahid Beheshti University of Medical Sciences,No,CC BY-NC,Yes
Continuity in Education,,2631-9179,English,Ubiquity Press,Yes,CC BY,No
Journal for the History of Analytical Philosophy,,2159-0303,English,MULPress,No,CC BY-NC,No
Науковий вісник ветеринарної медицини,2310-4902,2415-7589,"English, Russian, Ukrainian",Bila Tserkva National Agrarian University,No,CC BY,No
"Revista Ingeniería Electrónica, Automática y Comunicaciones",,1815-5928,Spanish,Instituto Superior Politécnico José Antonio Echeverría (CUJAE),No,CC BY-NC,No
Pravni Zapisi,2217-2815,2406-1387,"English, Serbian","Union University, Faculty of Law, Belgrade",No,CC BY,No
Jurnal Ilmu Keperawatan Jiwa,2685-9394,2621-2978,Indonesian,Persatuan Perawat Nasional Indonesia Jawa Tengah.,No,CC BY,Yes
Revista Cubana de Cirugía,0034-7493,1561-2945,Spanish,Editorial Ciencias Médicas,No,CC BY-NC-SA,No
JUTEI (Jurnal Terapan Teknologi Informasi),2579-3675,2579-5538,Indonesian,Universitas Kristen Duta Wacana,No,CC BY-NC-ND,No
James Joyce Online Notes,,2049-9396,English,James Joyce Online Notes,No,CC BY-NC-ND,No
Revista del Centro de Investigación Flamenco Telethusa,,1989-1628,Spanish,Centro de Investigacion Flamenco Telethusa,No,CC BY-NC-ND,No
Revista da Anpoll,,1982-7830,"English, Portuguese, Spanish",Associação Nacional de Pós-Graduação e Pesquisa em Letras e Linguística,No,CC BY,No
Vìsnik Dnìpropetrovsʹkogo Unìversitetu: Serìâ Psihologìâ,2414-9268,2415-7244,"English, Russian, Ukrainian",Dnipropetrovsk Oles Honchar National University,No,CC BY,Yes
Prosiding HIPKIN JATENG,,2549-0311,Indonesian,Universitas Negeri Semarang,No,CC BY,No
Journal of Bioinformatics and Genomics,,2530-1381,English,Cifra Publishing House,No,CC BY,No
AntropoWebzin,,1801-8807,"Czech, English, Slovak",AntropoWeb,No,CC BY,No
Edmetic: Revista de Educación Mediática y TIC,,2254-0059,"English, Italian, Portuguese, Spanish",Universidad de Córdoba,No,CC BY,No
"Biology, Medicine & Natural Product Chemistry",2089-6514,2540-9328,English,State Islamic University Sunan Kalijaga,No,CC BY-NC,No
Cadernos Pagu,0104-8333,,"English, Portuguese",Universidade Estadual de Campinas,No,CC BY-NC,No
Micronesica,0026-279X,,English,University of Guam Press,No,CC BY-NC-ND,Yes
Rhythmos,1792-7919,1792-7927,English,"Third Department of Cardiology, Athens University School of Medicine",No,CC BY,No
Indonesian Journal of Applied Physics,2089-0133,2477-6416,"English, Indonesian",Sebelas Maret University,No,CC BY-SA,No
Anuari de Filologia. Estudis de Lingüística,,2014-1408,"Catalan, English, Spanish",University of Barcelona,No,CC BY,No
Persian Journal of Acarology,,2251-8169,English,Acarological Society of Iran,No,CC BY-NC-ND,No
Avances en Psicología Latinoamericana,1794-4724,2145-4515,"Spanish, Portuguese, English",Universidad del Rosario,No,CC BY-NC,No
Italian Journal of Sociology of Education,,2035-4983,English,Padova University Press,No,Publisher's own license,No
Avicenna Journal of Phytomedicine,2228-7930,2228-7949,English,Mashhad University of Medical Sciences,No,CC BY-NC-SA,Yes
Grifos,,2175-0157,"English, Spanish, Portuguese",Universidade Comunitária da Região de Chapecó,No,CC BY-NC-ND,No
Revista de Doutrina Jurídica,2675-9624,2675-9640,"English, Portuguese",Tribunal de Justiça do Distrito Federal e dos Territórios,No,CC BY,No
Ensino & Multidisciplinaridade,,2447-5777,"Portuguese, Spanish",Universidade Federal do Maranhão,No,CC BY,No
Terra de Pretos,,2675-7028,"Spanish, Portuguese, English",Universidade Federal do Maranhão,No,CC BY-NC-ND,No
Revista de Investigación de Física,1605-7724,1728-2977,"Spanish, English",Instituto de Investigación de Física,No,CC BY,No
Odontología Sanmarquina,1560-9111,1609-8617,Spanish,Universidad Nacional Mayor de San Marcos,No,"CC BY, CC BY-NC-SA",No
Revista Estomatológica Herediana,1019-4355,2225-7616,Spanish,Universidad Peruana Cayetano Heredia,No,CC BY,No
South Sustainability,,2708-7077,"Spanish, English",Universidad Científica del Sur,No,CC BY,No
Innovación y Software,2708-0927,2708-0935,"Spanish, English",Universidad La Salle,No,CC BY,No
Smart and Resilient Transportation,,2632-0495,English,Emerald Publishing,No,CC BY,No
"International Trade, Politics and Development",2586-3932,2632-122X,English,Emerald Publishing,No,CC BY,No
Asian Journal of Economics and Banking,2615-9821,,English,Emerald Publishing,No,CC BY,No
Public Administration and Policy,1727-2645,2517-679X,English,Emerald Publishing,No,CC BY,No
Modern Supply Chain Research and Applications,,2631-3871,English,Emerald Publishing,No,CC BY,No
Journal of Economics and Development,1859-0020,2632-5330,English,Emerald Publishing,No,CC BY,No
International Hospitality Review,,2516-8142,English,Emerald Publishing,No,CC BY,No
Islamic Economic Studies,1319-1616,2411-3395,English,Emerald Publishing,No,CC BY,No
Investigaciones y Ensayos,0539-242X,2545-7055,Spanish,Academia Nacional de la Historia de la Republica Argentina,No,CC BY-NC-SA,No
Studia Etnologiczne i Antropologiczne,1506-5790,2353-9860,"Polish, English, Czech, Slovak",University of Silesia Press,No,CC BY-SA,No
Journal of Agricultural Engineering,1974-7071,2239-6268,English,PAGEPress Publications,No,CC BY-NC,Yes
Journal of Biological Research,1826-8838,2284-0230,English,PAGEPress Publications,No,CC BY-NC,Yes
Chemica,2355-875X,2355-8776,"English, Indonesian",Universitas Ahmad Dahlan,No,CC BY-SA,Yes
Jurnal Teknologi dan Sistem Tertanam,,2745-9500,"English, Indonesian",Universitas Teknokrat Indonesia,No,CC BY-SA,No
Reumatismo,0048-7449,2240-2683,"English, Italian",PAGEPress Publications,No,CC BY-NC,No
Teknosastik: Jurnal Bahasa dan Sastra,1412-9655,2656-6842,English,Universitas Teknokrat Indonesia,No,CC BY-SA,Yes
SCIRES-IT,,2239-4303,"Italian, English",CASPUR-CIBER Publishing,No,CC BY-NC-ND,No
Journal of Neurological Surgery Reports,,2193-6366,English,Georg Thieme Verlag KG,No,"CC BY, CC BY-NC-ND",Yes
Journal CleanWAS,2521-0912,2521-0513,English,Zibeline International,No,CC BY,No
Journal of Pediatric and Neonatal Individualized Medicine,,2281-0692,"English, Italian",Hygeia Press di Corridori Marinella,No,Publisher's own license,No
Journal of Bio-Based Marketing,,2683-0825,English,BelloPrint Pazardjik,No,CC BY,No
Sociologia,0873-6529,2182-7907,"English, Portuguese, Spanish",Editora Mundos Sociais,No,CC BY,No
Jurnal Data Mining dan Sistem Informasi,2745-8458,2775-9660,"Indonesian, English",Universitas Teknokrat Indonesia,No,CC BY-SA,No
Jurnal Riset Biologi dan Aplikasinya,,2655-9927,English,"Department of Biology, Faculty of Mathematics and Natural Sciences, Universitas Negeri Surabaya",No,CC BY-NC,No
Sicurezza Terrorismo e Società,2421-4442,2533-0659,"English, Italian",EDUCatt,No,CC BY-NC-ND,No
Ocula,,1724-7810,"English, French, Italian",Associazione Ocula,No,CC BY-NC-ND,No
"Transactions of the VŠB-Technical University of Ostrava, Mechanical Series",,1804-0993,English,VSB-Technical University of Ostrava,No,Publisher's own license,No
Linguística,1646-6195,2182-9713,Portuguese,Universidade do Porto,No,CC BY,No
Semina: Ciências Biológicas e da Saúde,,1679-0367,"Portuguese, English",Universidade Estadual de Londrina,No,CC BY-NC,No
Linguarum Arena,1647-8770,2182-973X,"English, French, Portuguese, Spanish",Universidade do Porto,No,CC BY-NC,No
Gateway Papers,2044-852X,,English,De Montfort University Press,No,CC BY,No
Acta Scientiarum: Biological Sciences,1679-9283,1807-863X,English,Universidade Estadual de Maringá,No,CC BY,No
Clinics,1807-5932,1980-5322,English,Elsevier España,No,CC BY,Yes
Lea,,1824-484X,"English, Italian",Firenze University Press,No,CC BY,No
Gateways,,1836-3393,English,UTS ePRESS,Yes,CC BY,No
Formare,,1825-7321,"English, Italian",Firenze University Press,No,CC BY-NC-ND,No
Temilavoro.it Sinossi Internet di Diritto del Lavoro e della Sicurezza Sociale,,1826-9028,"English, French, Italian, Spanish",Temilavoro.it,No,CC BY,No
Primary: Jurnal Pendidikan Guru Sekolah Dasar,2303-1514,2598-5949,"Indonesian, English",Laboratorium Program Studi Pendidikan Guru Sekolah Dasar Fakultas Keguruan dan Ilmu Pendidikan Universitas Riau,No,CC BY-NC-SA,Yes
"Advances in Ancient, Biblical, and Near Eastern Research",,2748-6419,"German, French, English",Tübingen University,No,CC BY-NC-ND,No
Journal of Noncommutative Geometry,1661-6952,1661-6960,English,EMS Press,No,CC BY,No
SINAPPSI,2532-8549,2611-6332,"English, Italian",INAPP,No,CC BY-NC-SA,No
Religionspädagogische Beiträge,,2750-3941,German,University of Bamberg Press,No,CC BY,No
Journal of Combinatorial Algebra,2415-6302,2415-6310,English,EMS Press,No,CC BY,No
J-Lalite,2723-3561,2723-357X,English,Prodi Sastra Inggris Universitas Jenderal Soedirman,No,CC BY-SA,No
Journal für Psychologie,0942-2285,2198-6959,"English, German",Psychosozial-Verlag GmbH & Co. KG,No,CC BY-NC-ND,No
Athena,,2724-6299,English,University of Bologna,No,CC BY,No
EMS Surveys in Mathematical Sciences,2308-2151,2308-216X,English,EMS Press,No,CC BY,No
RIMCIS,,2014-3680,"Spanish, English",Hipatia Press,No,CC BY,Yes
MatLit,,2182-8830,"Spanish, Portuguese, English",Imprensa da Universidade de Coimbra,Yes,CC BY,No
Quantum Topology,1663-487X,1664-073X,English,EMS Press,No,CC BY,No
Extensão Tecnológica,2358-2499,2674-9319,Portuguese,Instituto Federal Catarinense,No,CC BY-NC-SA,No
Coolabah,,1988-5946,English,Universitat de Barcelona,No,CC BY,No
Research in Molecular Medicine,2322-1348,2322-133X,English,Mazandaran University of Medical Sciences and Health Services,No,CC BY-NC,No
Telemática,,1729-3804,Spanish,Departamento de Telecomunicaciones y Telemática,No,CC BY-NC-ND,No
Campos Neutrais,,2596-1314,Portuguese,Universidade Federal do Rio Grande,No,CC BY,No
Anthropological Journal of European Cultures,1755-2923,1755-2931,English,Berghahn Books,No,"CC BY, CC BY-ND, CC BY-NC-ND",No
Forestry Economics Review,,2631-3030,English,Emerald Publishing,No,CC BY,No
"Journal for Religion, Film and Media",,2414-0201,English,Karl Franzens Universität Graz,No,CC BY-NC,No
European Journal of Pediatric Surgery Reports,2194-7619,2194-7627,English,Georg Thieme Verlag KG,No,CC BY,Yes
Nanochemistry Research,2538-4279,2423-818X,English,Iranian Chemical Society,No,CC BY,No
Black Theology Papers Project,,2641-2799,English,Columbia University Libraries,No,CC BY,No
Revista Geon,,2346-3910,Spanish,Universidad de los Llanos,No,CC BY-NC-ND,No
DATJournal,,2526-1789,Portuguese,Universidade Anhembi Morumbi,No,CC BY,No
Contrapontos,,1984-7114,Portuguese,Universidade do Vale do Itajaí,No,CC BY,No
Oral Tradition,0883-5365,1542-4308,English,"Center for Hellenic Studies, Trustees for Harvard University",No,Publisher's own license,No
H-ermes: Journal of Communication,,2284-0753,"English, Italian",Università del Salento,No,CC BY-NC-ND,No
Tumbuh Kembang : Kajian Teori dan Pembelajaran PAUD,2355-7443,2657-0785,Indonesian,FKIP Universitas Sriwijaya,No,CC BY-SA,No
"Вісник Харківського національного університету імені В.Н. Каразіна. Серія: Математичне моделювання, інформаційні технології, автоматизовані системи управління",2304-6201,2524-2601,"English, Russian, Ukrainian",V. N. Karazin Kharkiv National University,No,CC BY,No
Jurnal Matematika,1693-1394,2655-0016,"English, Indonesian",Universitas Udayana,No,CC BY,No
Studi Umbri,,2037-1217,Italian,Hermes,No,CC BY,No
Páginas de Educación,1688-5287,1688-7468,"English, Portuguese, Spanish",Universidad Católica del Uruguay,No,CC BY,No
Economía Teoría y Práctica,0188-3380,2448-7481,"English, Spanish",Universidad Autónoma Metropolitana,No,CC BY,No
Historia.scribere,,2073-8927,"English, German",IUP,No,CC BY-NC-SA,No
Food & Nutrition Research,1654-6628,1654-661X,English,Swedish Nutrition Foundation,Yes,CC BY,Yes
Journal of Lean Systems,,2448-0266,Portuguese,Universidade Federal de Santa Catarina,No,CC BY-SA,No
Italian Journal of Planning Practice,,2239-267X,English,Paolo Scattoni,No,CC BY-NC,No
EURE (Santiago) - Revista Latinoamericana de Estudios Urbano Regionales,0250-7161,0717-6236,"Portuguese, Spanish",Pontificia Universidad Católica de Chile,No,CC BY,No
Malaysian Orthopaedic Journal,1985-2533,2232-111X,English,Malaysian Orthopaedic Association,No,CC BY,Yes
Malang Neurology Journal,2407-6724,2442-5001,"English, Indonesian",University of Brawijaya,No,CC BY-NC,No
Revista Argentina de Salud Pública,1852-8724,1853-810X,Spanish,Ministerio de Salud,No,CC BY-NC-SA,No
Al-Ishlah: Jurnal Pendidikan,2087-9490,2597-940X,"English, Indonesian",STAI Hubbulwathan Duri,No,CC BY-NC-SA,No
Boletim Técnico do Senac,0102-549X,2448-1483,Portuguese,Serviço Nacional de Aprendizagem Comercial,No,CC BY-NC,No
Agriscientia,0327-6244,1668-298X,"Spanish, English","Facultad de Ciencias Agropecuarias, Universidad Nacional de Córdoba",No,CC BY-SA,Yes
Social Behavior Research & Health,2538-4813,2538-4155,English,Shahid Sadoughi University of Medical Sciences,No,CC BY,No
Journal of Pathology and Translational Medicine,2383-7837,2383-7845,"English, Korean",Korean Society of Pathologists & the Korean Society for Cytopathology,No,CC BY-NC,Yes
Pampa: Revista Interuniversitaria de Estudios Territoriales,1669-3299,2314-0208,"Portuguese, Spanish",Universidad Nacional del Litoral,No,CC BY-NC-SA,No
Jurnal Bahan Alam Terbarukan,2303-0623,,"English, Indonesian",Universitas Negeri Semarang,No,CC BY,No
International Journal of Aquatic Biology,2383-0956,2322-5270,English,University of Tehran,No,CC BY,No
Trabajos y Comunicaciones,,2346-8971,"Portuguese, English, Spanish",Universidad Nacional de La Plata,No,CC BY-NC-SA,No
Revista Gestão e Desenvolvimento em Contexto,1982-3266,2318-9150,Portuguese,Universidade de Cruz Alta,No,Publisher's own license,No
Patient Safety and Quality Improvement Journal,2345-4482,2345-4490,English,Mashhad University of Medical Sciences,No,CC BY-NC,No
Journal of Current Chinese Affairs,1868-1026,1868-4874,English,SAGE Publishing,No,"CC BY, CC BY-NC, CC BY-NC-ND",No
Revista Brasileira de Pesquisa em Turismo,,1982-6125,"English, Portuguese, Spanish",Associação Nacional de Pós-Graduação em Turismo,No,CC BY,No
Agenda Internacional,1027-6750,2311-5718,Spanish,Pontificia Universidad Católica del Perú,No,CC BY,No
Derecho PUCP,0251-3420,2305-2546,Spanish,Pontificia Universidad Católica del Perú,No,CC BY,No
Cell Regeneration,,2045-9769,English,SpringerOpen,No,"CC BY, CC0",No
OTA International,,2574-2167,English,Wolters Kluwer,No,CC BY-NC-ND,Yes
Acta Asiatica Varsoviensia,0860-6102,2449-8653,English,Foundation Cultivate,No,CC BY-NC-ND,No
Revista de Estudos Sociais,1519-504X,2358-7024,Portuguese,Universidade Federal de Mato Grosso,No,CC BY,No
Revista INGI,,2594-8288,"English, Portuguese",Associação Acadêmica de Propriedade Intelectual,No,Publisher's own license,No
Historika : Studi di Storia Greca e Romana,2240-774X,2039-4985,"English, French, German, Italian, Modern Greek (1453-)",Università degli Studi di Torino,No,CC BY,No
Журнал Средневолжского математического общества,2079-6900,2587-7496,"Russian, English",National Research Mordovia State University,No,CC BY,No
Revista Produção Online,,1676-1901,"English, Portuguese, Spanish",Universidade Federal de Santa Catarina,Yes,CC BY,No
Journal of the Scholarship of Teaching and Learning,,1527-9316,English,Indiana University Office of Scholarly Publishing,No,CC BY,No
"Realidad, Tendencias y Desafíos en Turismo",1850-4787,2545-6199,Spanish,Universidad Nacional del Comahue,No,CC BY-NC-SA,No
Analiz Riska Zdorovʹû,2308-1155,2308-1163,"English, Russian",FBSI “Federal Scientific Center for Medical and Preventive Health Risk Management Technologies”,No,CC BY-NC,No
Ghidza,2615-2851,2622-7622,Indonesian,Universitas Tadulako,No,CC BY-SA,Yes
Faedpyme International Review,,2255-078X,"English, Portuguese, Spanish",Universidad Politécnica de Cartagena,No,CC BY-NC-SA,No
Journal of French and Francophone Philosophy,,2155-1162,"French, English","University Library System, University of Pittsburgh",No,CC BY-NC-ND,No
International Marine Energy Journal,,2631-5548,English,European Wave and Tidal Energy Conference,No,CC BY,No
British Journal for Military History,,2057-0422,English,"Goldsmiths, University of London",No,CC BY-NC-ND,No
Enumerative Combinatorics and Applications,,2710-2335,English,"University of Haifa, Department of Mathematics",No,CC BY-ND,No
Archaeoastronomy and Ancient Technologies,,2310-2144,"English, Russian",Archaeoastronomy and Ancient Technologies,No,CC BY,No
Caste,,2639-4928,English,Brandeis University Library,No,CC BY,No
International Journal of Odonatology,1388-7890,2159-6719,English,Worldwide Dragonfly Association,No,CC BY-NC-ND,No
Journal of Contemporary Pharmacy Practice,2573-2757,2573-2765,English,California Pharmacists Association,No,CC BY-NC-SA,No
Journal of Science Fiction and Philosophy,,2573-881X,English,Alfredo Mac Laughlin,No,CC BY-NC,No
Wine Business Journal,,2694-5703,English,The Wine Business Institute at Sonoma State University,No,CC BY,No
Jurnal Penelitian dan Pembelajaran IPA,2477-1422,2477-2038,English,"Department of Science Education, Faculty of Teacher Training and Education, Universitas Sultan Ageng Tirtayasa",No,CC BY,Yes
"LET: Linguistics, Literature and English Teaching Journal",2086-9606,2549-2454,English,English Department of Antasari State Islamic University,No,CC BY,No
Хуманитарни Балкански изследвания,2603-4859,2683-1090,"Bulgarian, English, Russian, Ukrainian, Azerbaijani","LLC (EOOD) “SCIENTIFIC CHRONOGRAPH""",No,CC BY-NC,No
Балканско научно обозрение,2603-4867,2683-1082,"Bulgarian, Ukrainian, English, Russian, Azerbaijani","LLC (EOOD) “SCIENTIFIC CHRONOGRAPH""",No,CC BY-NC,No
